Iteration,FP32 Input,Custom Input,FP32 Result,Custom Result,Absolute Error,Relative Error (%)
1,1.2345,1.2344970703125,1.23482345,1.2348175048828125,5.945117187433624e-06,0.0004814548336795534
100,1.2666789641429927,1.2662200927734375,1.267005632039407,1.26654052734375,0.00046510469565697043,0.03670896828677274
200,1.299507983898534,1.2983245849609375,1.2998379346969238,1.2986602783203125,0.001177656376611269,0.09060024678275426
300,1.3326669242094584,1.3318939208984375,1.3330001909018794,1.3322296142578125,0.0007705766440668782,0.05780769195130592
400,1.3661591006658664,1.3654632568359375,1.366495716575933,1.3657989501953125,0.0006967663806205504,0.05098928391568308
500,1.3999878621784154,1.3990325927734375,1.4003278609646332,1.3993682861328125,0.000959574831820742,0.06852501178971951
600,1.4341565913131866,1.4326019287109375,1.434500006972318,1.4329376220703125,0.0015623849020054426,0.10891494558463201
700,1.4686687046299052,1.466888427734375,1.469015571500368,1.4672393798828125,0.0017761916175556003,0.12091033287969168
800,1.503527653023568,1.501983642578125,1.5038780057888703,1.5023345947265625,0.00154341106230782,0.10262874091959424
900,1.538736922069499,1.537078857421875,1.539090795761706,1.5374298095703125,0.001660986191393432,0.10791996131530365
1000,1.5743000323718803,1.572174072265625,1.5746574623751175,1.5725250244140625,0.0021324379610550004,0.1354223386360206
1100,1.6102205399157719,1.6074981689453125,1.6105815619697634,1.6078643798828125,0.002717182086950931,0.1687081332054851
1200,1.6465020364226834,1.6441192626953125,1.6468666866263257,1.6444854736328125,0.0023812129935132376,0.14459051317573557
1300,1.6831481497097136,1.6807403564453125,1.6835164645246845,1.6811065673828125,0.0024098971418720083,0.1431466334101108
1400,1.7201625440522965,1.7173614501953125,1.7205345603067017,1.7177276611328125,0.00280689917388921,0.1631411096670359
1500,1.7575489205505932,1.7539825439453125,1.7579246754426483,1.7543487548828125,0.003575920559835799,0.20341716626370104
1600,1.7953110174995757,1.7920684814453125,1.7956905486013255,1.792449951171875,0.003240597429450487,0.18046524953726623
1700,1.833452610762814,1.8302154541015625,1.8338359560238902,1.830596923828125,0.003239032195765157,0.17662605998783026
1800,1.8719775141500314,1.8683624267578125,1.8723647119014464,1.868743896484375,0.003620815417071377,0.1933819513931302
1900,1.9108895797984502,1.9065093994140625,1.91128066875643,1.906890869140625,0.004389799615805101,0.22967843957011888
2000,1.9501926985579734,1.9461517333984375,1.9505877178278292,1.9465484619140625,0.004039255913766748,0.2070789166182619
2100,1.9898908003802256,1.9858245849609375,1.9902897894602636,1.9862213134765625,0.004068475983701081,0.20441626165425839
2200,2.0299878547115187,2.0274658203125,2.0303908534969897,2.02789306640625,0.002497787090739667,0.12302001294172843
